"state","stateISO","country","countryISO"
"Alberta","AB","Canada","CA"
"British Columbia","BC","Canada","CA"
"Manitoba","MB","Canada","CA"
"New Brunswick","NB","Canada","CA"
"Newfoundland and Labrador","NL","Canada","CA"
"Northwest Territories","NT","Canada","CA"
"Nova Scotia","NS","Canada","CA"
"Nunavut","NU","Canada","CA"
"Ontario","ON","Canada","CA"
"Prince Edward Island","PE","Canada","CA"
"Quebec","QC","Canada","CA"
"Saskatchewan","SK","Canada","CA"
"Yukon","YT","Canada","CA"
"Alabama","AL","United States","US"
"Alaska","AK","United States","US"
"American Samoa","AS","United States","US"
"Arizona","AZ","United States","US"
"Arkansas","AR","United States","US"
"California","CA","United States","US"
"Colorado","CO","United States","US"
"Connecticut","CT","United States","US"
"Delaware","DE","United States","US"
"District of Columbia","DC","United States","US"
"Florida","FL","United States","US"
"Georgia","GA","United States","US"
"Guam","GU","United States","US"
"Hawaii","HI","United States","US"
"Idaho","ID","United States","US"
"Illinois","IL","United States","US"
"Indiana","IN","United States","US"
"Iowa","IA","United States","US"
"Kansas","KS","United States","US"
"Kentucky","KY","United States","US"
"Louisiana","LA","United States","US"
"Maine","ME","United States","US"
"Maryland","MD","United States","US"
"Massachusetts","MA","United States","US"
"Michigan","MI","United States","US"
"Minnesota","MN","United States","US"
"Mississippi","MS","United States","US"
"Missouri","MO","United States","US"
"Montana","MT","United States","US"
"Nebraska","NE","United States","US"
"Nevada","NV","United States","US"
"New Hampshire","NH","United States","US"
"New Jersey","NJ","United States","US"
"New Mexico","NM","United States","US"
"New York","NY","United States","US"
"North Carolina","NC","United States","US"
"North Dakota","ND","United States","US"
"Ohio","OH","United States","US"
"Oklahoma","OK","United States","US"
"Oregon","OR","United States","US"
"Pennsylvania","PA","United States","US"
"Puerto Rico","PR","United States","US"
"Rhode Island","RI","United States","US"
"South Carolina","SC","United States","US"
"South Dakota","SD","United States","US"
"Tennessee","TN","United States","US"
"Texas","TX","United States","US"
"U.S. Virgin Islands","VI","United States","US"
"Utah","UT","United States","US"
"Vermont","VT","United States","US"
"Virginia","VA","United States","US"
"Washington","WA","United States","US"
"West Virginia","WV","United States","US"
"Wisconsin","WI","United States","US"
"Wyoming","WY","United States","US"
